name,asciiname,population
Apizaco,Apizaco,46459
Apan,Apan,26385
Amozoc de Mota,Amozoc de Mota,77106
Amecameca,Amecameca,31718
Heroica Alvarado,Heroica Alvarado,21518
Altotonga,Altotonga,15800
Altepexi,Altepexi,16587
Altamira,Altamira,54954
Allende,Allende,21398
Ìlamo,Alamo,22740
Ajalpan,Ajalpan,24218
Agua Dulce,Agua Dulce,36119
Actopan,Actopan,26705
Acayucan,Acayucan,46990
Acatzingo,Acatzingo,22386
AcatlÌÁn de Osorio,Acatlan de Osorio,16292
Acapulco de JuÌÁrez,Acapulco de Juarez,652136
Acajete,Acajete,18068
San Antonio de la Cal,San Antonio de la Cal,20198
Hidalgo,Hidalgo,15227
RÌ_o de Teapa,Rio de Teapa,26500
Huamantla,Huamantla,45903
Zacatelco,Zacatelco,38466
Tlaxcala,Tlaxcala,84670
Papalotla,Papalotla,22969
Villa Vicente Guerrero,Villa Vicente Guerrero,52591
TonalÌÁ,Tonala,32855
Arriaga,Arriaga,22820
San AndrÌ©s Cholula,San Andres Cholula,80118
Tampico,Tampico,297284
Alto Lucero,Alto Lucero,15011
San Mateo Otzacatipan,San Mateo Otzacatipan,18823
Santa MarÌ_a Totoltepec,Santa Maria Totoltepec,18779
San Lorenzo Acopilco,San Lorenzo Acopilco,23037
Benito Juarez,Benito Juarez,355017
Venustiano Carranza,Venustiano Carranza,447459
Miguel Hidalgo,Miguel Hidalgo,353534
CuauhtÌ©moc,Cuauhtemoc,521348
Huixquilucan,Huixquilucan,124846
Melchor Ocampo,Melchor Ocampo,34489
Huilango,Huilango,17399
Santiago Teyahualco,Santiago Teyahualco,41757
Ojo de Agua,Ojo de Agua,242272
Buenavista,Buenavista,206081
Miguel AlemÌÁn (La Doce),Miguel Aleman (La Doce),30869
Leyva Solano,Leyva Solano,27536
CihuatlÌÁn,Cihuatlan,16520
Guadalupe Victoria,Guadalupe Victoria,18244
Ixtapa-Zihuatanejo,Ixtapa-Zihuatanejo,61308
Zapotlanejo,Zapotlanejo,29055
Zapotiltic,Zapotiltic,22199
Zapopan,Zapopan,987516
Zamora,Zamora,124916
Zacoalco de Torres,Zacoalco de Torres,16468
Zacatecas,Zacatecas,118562
ZacapÌ¼,Zacapu,50112
Yuriria,Yuriria,21775
YurÌ©cuaro,Yurecuaro,23843
VillagrÌÁn,Villagran,24155
Ciudad Frontera,Ciudad Frontera,64976
GarcÌ_a,Garcia,26950
Ciudad de Villa de Ìlvarez,Ciudad de Villa de Alvarez,117600
Valle de Santiago,Valle de Santiago,60528
Valle de Bravo,Valle de Bravo,28280
Uruapan,Uruapan,237308
Uriangato,Uriangato,49745
Tuxpan,Tuxpan,32462
Torreon,Torreon,524066
TonalÌÁ,Tonala,401509
Tlaquepaque,Tlaquepaque,493646
Tlajomulco de ZÌ¼Ì±iga,Tlajomulco de Zuniga,17025
Tijuana,Tijuana,1376457
TesistÌÁn,Tesistan,29253
Tequila,Tequila,25283
Tepic,Tepic,280592
TepatitlÌÁn de Morelos,Tepatitlan de Morelos,83694
Tepalcatepec,Tepalcatepec,15281
Teocaltiche,Teocaltiche,22646
Tejupilco de Hidalgo,Tejupilco de Hidalgo,25036
Tecoman,Tecoman,79579
Tecate,Tecate,58300
TangancÌ_cuaro de Arista,Tangancicuaro de Arista,15182
Tamazula de Gordiano,Tamazula de Gordiano,18397
Tala,Tala,30942
TacÌÁmbaro de Codallos,Tacambaro de Codallos,21059
Sombrerete,Sombrerete,18805
Soledad de Graciano SÌÁnchez,Soledad de Graciano Sanchez,194006
Silao,Silao,65195
Sayula,Sayula,25312
Santiago Papasquiaro,Santiago Papasquiaro,26121
Santiago Ixcuintla,Santiago Ixcuintla,18365
Santiago,Santiago,35968
Santa Rosa Jauregui,Santa Rosa Jauregui,17091
Santa Catarina,Santa Catarina,254472
Santa Anita,Santa Anita,20320
San SebastiÌÁn el Grande,San Sebastian el Grande,15465
San Pedro,San Pedro,41165
San NicolÌÁs de los Garza,San Nicolas de los Garza,443273
San Miguel el Alto,San Miguel el Alto,22204
San Miguel de Papasquiaro,San Miguel de Papasquiaro,22750
San Miguel de Allende,San Miguel de Allende,69811
San Luis RÌ_o Colorado,San Luis Rio Colorado,139254
San Luis PotosÌ_,San Luis Potosi,677704
San Luis de la Paz,San Luis de la Paz,49914
San Luis de la Paz,San Luis de la Paz,47321
Cabo San Lucas,Cabo San Lucas,42601
San Juan de los Lagos,San Juan de los Lagos,45671
San JosÌ© Iturbide,San Jose Iturbide,16702
San JosÌ© del Cabo,San Jose del Cabo,48518
San Francisco del RincÌ_n,San Francisco del Rincon,66949
San Felipe,San Felipe,15386
San Felipe,San Felipe,26072
San Buenaventura,San Buenaventura,18822
NicolÌÁs R Casillas,Nicolas R Casillas,15107
Salvatierra,Salvatierra,32972
Saltillo,Saltillo,621250
Salamanca,Salamanca,138614
Sahuayo de Morelos,Sahuayo de Morelos,58513
Sabinas Hidalgo,Sabinas Hidalgo,32047
Ciudad Sabinas,Ciudad Sabinas,49199
Rosarito,Rosarito,66020
Romita,Romita,19351
RÌ_o Grande,Rio Grande,29841
RincÌ_n de Romos,Rincon de Romos,24683
Ramos Arizpe,Ramos Arizpe,38258
Santiago de QuerÌ©taro,Santiago de Queretaro,626495
PuruÌÁndiro,Puruandiro,28350
Puerto Vallarta,Puerto Vallarta,187134
Puerto PeÌ±asco,Puerto Penasco,33875
Piedras Negras,Piedras Negras,150178
PetatlÌÁn,Petatlan,21038
PÌ©njamo,Penjamo,33509
PÌÁtzcuaro,Patzcuaro,49016
Parras de la Fuente,Parras de la Fuente,32253
Paracho de Verduzco,Paracho de Verduzco,15965
Palau,Palau,16904
Ojinaga,Ojinaga,22128
OcotlÌÁn,Ocotlan,81527
Nuevo MÌ©xico,Nuevo Mexico,28135
Nuevo Casas Grandes,Nuevo Casas Grandes,51356
Nueva Rosita,Nueva Rosita,36642
Nueva Italia de Ruiz,Nueva Italia de Ruiz,31424
NochistlÌÁn de MejÌ_a,Nochistlan de Mejia,15613
Navolato,Navolato,28457
Navojoa,Navojoa,120000
Nava,Nava,18639
MoroleÌ_n,Moroleon,40063
Morelia,Morelia,592797
Monterrey,Monterrey,1122874
Monclova,Monclova,195764
Mexicali,Mexicali,597099
Meoqui,Meoqui,21179
Melchor MÌ¼zquiz,Melchor Muzquiz,32799
Medina,Medina,16166
MazatlÌÁn,Mazatlan,354717
Matehuala,Matehuala,67717
Matamoros,Matamoros,104024
Marfil,Marfil,15241
MaravatÌ_o de Ocampo,Maravatio de Ocampo,30412
Manzanillo,Manzanillo,110735
Rodolfo SÌÁnchez Taboada,Rodolfo Sanchez Taboada,17861
Magdalena de Kino,Magdalena de Kino,23359
San Pedro Madera,San Pedro Madera,16087
Los Mochis,Los Mochis,214601
Loreto,Loreto,19779
LeÌ_n de los Aldama,Leon de los Aldama,1114626
Las Pintas de Arriba,Las Pintas de Arriba,16503
La Piedad,La Piedad,70238
La Paz,La Paz,171485
La Orilla,La Orilla,20126
Lagos de Moreno,Lagos de Moreno,84677
La Cruz,La Cruz,15500
La Barca,La Barca,34449
Santa Cruz de Juventino Rosas,Santa Cruz de Juventino Rosas,38198
Jocotepec,Jocotepec,16459
JiquÌ_lpan de JuÌÁrez,Jiquilpan de Juarez,25620
JimÌ©nez,Jimenez,31054
JesÌ¼s MarÌ_a,Jesus Maria,43012
Jerez de GarcÌ_a Salinas,Jerez de Garcia Salinas,43064
Jaral del Progreso,Jaral del Progreso,17748
Jamay,Jamay,16310
JalostotitlÌÁn,Jalostotitlan,22407
IxtlÌÁn del RÌ_o,Ixtlan del Rio,21646
Ixtapa,Ixtapa,18717
Irapuato,Irapuato,339554
Huetamo de NÌ¼Ì±ez,Huetamo de Nunez,21899
Huatabampo,Huatabampo,30426
Parral,Parral,101768
HerÌ_ica ZitÌÁcuaro,Heroica Zitacuaro,78950
Nogales,Nogales,185882
Heroica Caborca,Heroica Caborca,52896
Hermosillo,Hermosillo,595811
Heroica Guaymas,Heroica Guaymas,103449
Guasave,Guasave,68449
Guanajuato,Guanajuato,78364
GuamÌ¼chil,Guamuchil,59276
Guadalupe,Guadalupe,724921
Guadalupe,Guadalupe,94089
Guadalajara,Guadalajara,1640589
Gomez Palacio,Gomez Palacio,228577
Juan JosÌ© RÌ_os,Juan Jose Rios,26380
Ciudad General Escobedo,Ciudad General Escobedo,308206
Garza GarcÌ_a,Garza Garcia,130646
Fresnillo,Fresnillo,105488
Escuinapa,Escuinapa,28248
Ensenada,Ensenada,256565
EncarnaciÌ_n de DÌ_az,Encarnacion de Diaz,21861
Empalme,Empalme,38599
Pueblo Nuevo,Pueblo Nuevo,19363
El Salto,El Salto,22550
El Pueblito,El Pueblito,71254
El Grullo,El Grullo,21031
Victoria de Durango,Victoria de Durango,457140
CuliacÌÁn,Culiacan,675000
CuauhtÌ©moc,Cuauhtemoc,90835
Villa de Costa Rica,Villa de Costa Rica,21662
Cortazar,Cortazar,56360
Compostela,Compostela,16162
Comonfort,Comonfort,22300
Colima,Colima,127235
Ciudad ObregÌ_n,Ciudad Obregon,258162
Ciudad Lerdo,Ciudad Lerdo,63530
Ciudad JuÌÁrez,Ciudad Juarez,1512354
Ciudad Hidalgo,Ciudad Hidalgo,54993
Ciudad GuzmÌÁn,Ciudad Guzman,101010
Ciudad Delicias,Ciudad Delicias,102969
Ciudad ConstituciÌ_n,Ciudad Constitucion,39915
Ciudad Camargo,Ciudad Camargo,37743
Ciudad AnÌÁhuac,Ciudad Anahuac,17181
Ciudad Altamirano,Ciudad Altamirano,24533
Ciudad AcuÌ±a,Ciudad Acuna,144669
Chihuahua,Chihuahua,809232
Chapala,Chapala,20323
Celaya,Celaya,305901
CastaÌ±os,Castanos,20809
Cananea,Cananea,33433
Villa JuÌÁrez,Villa Juarez,20985
Calvillo,Calvillo,19663
VÌ_ctor Rosales,Victor Rosales,32721
AutlÌÁn de Navarro,Autlan de Navarro,42155
Atoyac de Ìlvarez,Atoyac de Alvarez,21407
Atotonilco el Alto,Atotonilco el Alto,27010
Armeria,Armeria,16953
Arcelia,Arcelia,16940
Arandas,Arandas,43342
Ciudad Apodaca,Ciudad Apodaca,352064
ApatzingÌÁn,Apatzingan,98422
Apaseo el Grande,Apaseo el Grande,22636
Apaseo el Alto,Apaseo el Alto,25577
Ameca,Ameca,35867
Allende,Allende,19636
Allende,Allende,22609
Aguascalientes,Aguascalientes,658179
Agua Prieta,Agua Prieta,77254
Acaponeta,Acaponeta,18564
AcÌÁmbaro,Acambaro,56263
Abasolo,Abasolo,25821
AnÌÁhuac,Anahuac,16628
Dolores Hidalgo Cuna de la Independencia Nacional,Dolores Hidalgo Cuna de la Independencia Nacional,59240
Guacamayas,Guacamayas,39447
Ciudad LÌÁzaro CÌÁrdenas,Ciudad Lazaro Cardenas,84001
Colonia del Valle,Colonia del Valle,250000
Colonia Lindavista,Colonia Lindavista,100000
Colonia Nativitas,Colonia Nativitas,60000
Las Delicias,Las Delicias,15486
San Pedro Garza Garcia,San Pedro Garza Garcia,122009
Soledad de Graciano SÌÁnchez,Soledad de Graciano Sanchez,255015
Manzanillo,Manzanillo,130035
Naucalpan de JuÌÁrez,Naucalpan de Juarez,121470
Hacienda Santa Fe,Hacienda Santa Fe,86935
Fuentes del Valle,Fuentes del Valle,74087
San Salvador Tizatlalli,San Salvador Tizatlalli,61367
Jardines de la Silla (Jardines),Jardines de la Silla (Jardines),53742
San Buenaventura,San Buenaventura,44761
Colonia Santa Teresa,Colonia Santa Teresa,36845
San JerÌ_nimo Cuatro Vientos,San Jeronimo Cuatro Vientos,36778
San MartÌ_n Azcatepec,San Martin Azcatepec,35390
Fraccionamiento Real Palmas,Fraccionamiento Real Palmas,34636
PÌ_rticos de San Antonio,Porticos de San Antonio,34234
San Isidro,San Isidro,33737
Centro Familiar la Soledad,Centro Familiar la Soledad,32159
San JosÌ© Guadalupe Otzacatipan,San Jose Guadalupe Otzacatipan,31299
Las Pintitas,Las Pintitas,26500
Emiliano Zapata,Emiliano Zapata,25309
San Antonio TecÌ_mitl,San Antonio Tecomitl,24397
Licenciado Benito JuÌÁrez (Campo Gobierno),Licenciado Benito Juarez (Campo Gobierno),24185
TeotihuacÌÁn de Arista,Teotihuacan de Arista,23325
JesÌ¼s del Monte,Jesus del Monte,23150
San Jorge Pueblo Nuevo,San Jorge Pueblo Nuevo,23107
Manuel Ojinaga,Manuel Ojinaga,22744
Terrazas del Valle,Terrazas del Valle,20421
La Ermita,La Ermita,19703
Lomas del Sur,Lomas del Sur,19413
Parque Industrial Ciudad Mitras,Parque Industrial Ciudad Mitras,18312
Mitras Poniente,Mitras Poniente,18246
Villa del Prado 2da SecciÌ_n,Villa del Prado 2da Seccion,18226
Tres de Mayo,Tres de Mayo,17966
Don Antonio,Don Antonio,17736
Heroica Ciudad de Tlaxiaco,Heroica Ciudad de Tlaxiaco,17543
Ciudad de Huitzuco,Ciudad de Huitzuco,17475
Casa Blanca,Casa Blanca,17262
La Providencia Siglo XXI,La Providencia Siglo XXI,16747
AmpliaciÌ_n San Mateo (Colonia Solidaridad),Ampliacion San Mateo (Colonia Solidaridad),16250
Fraccionamiento Ciudad Olmeca,Fraccionamiento Ciudad Olmeca,16074
San Rafael Tlanalapan,San Rafael Tlanalapan,15998
TecÌÁmac de Felipe Villanueva,Tecamac de Felipe Villanueva,15911
Venceremos,Venceremos,15538
Alborada Jaltenco,Alborada Jaltenco,15235
Crucecita,Crucecita,15130
Kuah,Kuah,30212
Jerantut,Jerantut,33606
Raub,Raub,40024
Batu Pahat,Batu Pahat,156236
Parit Raja,Parit Raja,17441
Pekan Nenas,Pekan Nenas,23292
Pontian Kechil,Pontian Kechil,50836
Kampung Pasir Gudang Baru,Kampung Pasir Gudang Baru,145639
Kota Tinggi,Kota Tinggi,52743
Taman Senai,Taman Senai,73176
Kulai,Kulai,63762
Skudai,Skudai,159733
Johor Bahru,Johor Bahru,802489
Kluang,Kluang,169828
Yong Peng,Yong Peng,27138
Mersing,Mersing,22007
Segamat,Segamat,69816
Tangkak,Tangkak,35109
Muar,Muar,127897
Bakri,Bakri,30280
Labis,Labis,21906
Kuala Selangor,Kuala Selangor,55887
Batang Berjuntai,Batang Berjuntai,20001
Batu Arang,Batu Arang,22579
Shah Alam,Shah Alam,481654
Klang,Klang,879867
Cukai,Cukai,82425
Kuala Lipis,Kuala Lipis,15448
Papar,Papar,19278
Kota Kinabalu,Kota Kinabalu,457326
Donggongon,Donggongon,71585
Putatan,Putatan,78340
Kinarut,Kinarut,15716
Ranau,Ranau,19294
Semporna,Semporna,62641
Victoria,Victoria,73653
Beaufort,Beaufort,15855
Lahad Datu,Lahad Datu,105622
Sandakan,Sandakan,392288
Keningau,Keningau,77650
Tawau,Tawau,306462
Paka,Paka,21044
Kertih,Kertih,24401
Kulim,Kulim,170889
Bagan Serai,Bagan Serai,20476
Bedong,Bedong,47585
Simpang Empat,Simpang Empat,58004
Taiping,Taiping,217647
Kuala Kangsar,Kuala Kangsar,39331
Ipoh,Ipoh,673318
Gua Musang,Gua Musang,19731
Kuala Terengganu,Kuala Terengganu,285065
Marang,Marang,21410
Tampin,Tampin,28238
Alor Gajah,Alor Gajah,20163
Kampung Ayer Keroh,Kampung Ayer Keroh,37716
Sungai Udang,Sungai Udang,26044
Malacca,Malacca,180671
Pelabuhan Klang,Pelabuhan Klang,20000
Banting,Banting,48240
Jenjarum,Jenjarum,24857
Semenyih,Semenyih,92491
Seremban,Seremban,372917
Port Dickson,Port Dickson,89198
Sepang,Sepang,212050
Bahau,Bahau,31273
Kuala Pilah,Kuala Pilah,19510
Pekan,Pekan,31826
Mentekab,Mentekab,42171
Temerluh,Temerluh,59916
Batu Feringgi,Batu Feringgi,20000
Butterworth,Butterworth,107591
Perai,Perai,65301
Bukit Mertajam,Bukit Mertajam,212329
Nibong Tebal,Nibong Tebal,40072
Parit Buntar,Parit Buntar,27313
Tasek Glugor,Tasek Glugor,135786
George Town,George Town,300000
Serendah,Serendah,28484
Rawang,Rawang,120447
Petaling Jaya,Petaling Jaya,520698
Kuala Lumpur,Kuala Lumpur,1453975
Sabak Bernam,Sabak Bernam,17251
Sungai Besar,Sungai Besar,26939
Kuantan,Kuantan,366229
Batu Gajah,Batu Gajah,46183
Kampar,Kampar,19056
Tapah Road,Tapah Road,27863
Bidur,Bidur,30016
Lumut,Lumut,39595
Teluk Intan,Teluk Intan,63353
Gurun,Gurun,15964
Sungai Petani,Sungai Petani,228843
Kepala Batas,Kepala Batas,17131
Tanah Merah,Tanah Merah,29116
Kuching,Kuching,570407
Simanggang,Simanggang,27207
Sarikei,Sarikei,29281
Sibu,Sibu,198239
Kangar,Kangar,63869
Jitra,Jitra,63489
Kuala Kedah,Kuala Kedah,19231
Alor Setar,Alor Setar,217368
Pasir Mas,Pasir Mas,19017
Kota Bharu,Kota Bharu,1459994
Kudat,Kudat,32393
Kapit,Kapit,15771
Bintulu,Bintulu,151617
Limbang,Limbang,26199
Miri,Miri,228212
Ulu Tiram,Ulu Tiram,75350
Tanjung Tokong,Tanjung Tokong,24071
Tanjung Sepat,Tanjung Sepat,22340
Permatang Kuching,Permatang Kuching,27191
Peringat,Peringat,23288
Ladang Seri Kundang,Ladang Seri Kundang,23307
Pantai Remis,Pantai Remis,16317
Kuang,Kuang,21185
Klebang Besar,Klebang Besar,38643
Kampung Tanjung Karang,Kampung Tanjung Karang,16393
Kampung Sungai Ara,Kampung Sungai Ara,140849
Kampung Simpang Renggam,Kampung Simpang Renggam,17528
Kampong Pangkal Kalong,Kampong Pangkal Kalong,39904
Kampong Masjid Tanah,Kampong Masjid Tanah,29185
Kampong Kadok,Kampong Kadok,19233
Kampong Dungun,Kampong Dungun,58674
Kampung Bukit Baharu,Kampung Bukit Baharu,55656
Kampung Baru Subang,Kampung Baru Subang,833571
Kampung Baharu Nilai,Kampung Baharu Nilai,36720
Kampong Baharu Balakong,Kampong Baharu Balakong,69302
Kampung Ayer Molek,Kampung Ayer Molek,15497
Bukit Rambai,Bukit Rambai,17391
Bentong Town,Bentong Town,49213
Batu Berendam,Batu Berendam,25028
Putrajaya,Putrajaya,50000
Bandar Labuan,Bandar Labuan,54752
Subang Jaya,Subang Jaya,708296
Putra Heights,Putra Heights,60000
Xai-Xai,Xai-Xai,127366
Dondo,Dondo,78648
Macia,Macia,23156
Tete,Tete,129316
Ressano Garcia,Ressano Garcia,110000
Quelimane,Quelimane,188964
Pemba,Pemba,108737
Nampula,Nampula,388526
Nacala,Nacala,224795
Montepuez,Montepuez,72279
MocÌ_mboa,Mocimboa,27909
Ilha de MoÌ¤ambique,Ilha de Mocambique,54315
Maxixe,Maxixe,119868
Matola,Matola,675422
Maputo,Maputo,1191613
Manjacaze,Manjacaze,25541
Lichinga,Lichinga,109839
Inhambane,Inhambane,73884
Cuamba,Cuamba,73268
ChokwÌ©,Chokwe,63695
Chimoio,Chimoio,256936
Chibuto,Chibuto,59165
Beira,Beira,530604
AntÌ_nio Enes,Antonio Enes,74624
MutuÌÁli,Mutuali,30523
Katima Mulilo,Katima Mulilo,25027
Windhoek,Windhoek,268132
Swakopmund,Swakopmund,25047
Rundu,Rundu,58172
Rehoboth,Rehoboth,21377
Otjiwarongo,Otjiwarongo,21224
Oshakati,Oshakati,33618
Okahandja,Okahandja,20879
LÌ_deritz,Luderitz,15137
Keetmanshoop,Keetmanshoop,15608
Grootfontein,Grootfontein,24099
Gobabis,Gobabis,16321
Walvis Bay,Walvis Bay,52058
NoumÌ©a,Noumea,93060
Mont-Dore,Mont-Dore,24680
DumbÌ©a,Dumbea,19346
Birni N Konni,Birni N Konni,48103
Zinder,Zinder,191424
TillabÌ©ri,Tillaberi,19262
Tibiri,Tibiri,20019
Tessaoua,Tessaoua,35775
TÌ©ra,Tera,21095
Tanout,Tanout,15204
Tahoua,Tahoua,80425
Niamey,Niamey,774235
Nguigmi,Nguigmi,17897
Mirriah,Mirriah,20724
Mayahi,Mayahi,22183
Matamey,Matamey,16844
Maradi,Maradi,163487
Magaria,Magaria,19419
Madaoua,Madaoua,24804
IllÌ©la,Illela,16678
Gaya,Gaya,33051
Dosso,Dosso,49750
Dogondoutchi,Dogondoutchi,31767
Diffa,Diffa,27948
Dakoro,Dakoro,19798
Ayorou,Ayorou,26290
Alaghsas,Alaghsas,88561
Agadez,Agadez,124324
Kingston,Kingston,880
Zuru,Zuru,24338
Zungeru,Zungeru,24447
Zaria,Zaria,975153
Yola,Yola,96006
Yenagoa,Yenagoa,24335
Wukari,Wukari,92933
Wudil,Wudil,23066
Warri,Warri,536023
Wamba,Wamba,27137
Uyo,Uyo,436606
Uromi,Uromi,108608
Umuahia,Umuahia,264662
Ughelli,Ughelli,79986
Ugep,Ugep,200276
Uga,Uga,64179
Ubiaja,Ubiaja,21782
Tegina,Tegina,24037
Tambuwal,Tambuwal,20932
Talata Mafara,Talata Mafara,39045
Takum,Takum,24822
Suleja,Suleja,162135
Sokoto,Sokoto,563861
Soba,Soba,15715
Saki,Saki,178677
Shagamu,Shagamu,214558
Sapele,Sapele,161686
Rijau,Rijau,16613
Rano,Rano,17972
Potiskum,Potiskum,86002
Port Harcourt,Port Harcourt,1148665
Pindiga,Pindiga,106322
Patigi,Patigi,28285
Pankshin,Pankshin,31516
Ozubulu,Ozubulu,73812
Oyo,Oyo,736072
Oyan,Oyan,73622
Owo,Owo,276574
Owerri,Owerri,215038
Otukpa,Otukpa,21686
Otan Ayegbaju,Otan Ayegbaju,37783
Osogbo,Osogbo,156694
Orita Eruwa,Orita Eruwa,71027
Onitsha,Onitsha,561066
Ondo,Ondo,257005
Olupona,Olupona,95002
Okuta,Okuta,26589
Okrika,Okrika,133271
Okigwe,Okigwe,115499
Okene,Okene,479178
Oke Mesi,Oke Mesi,79563
Oke Ila,Oke Ila,35000
Ohafia-Ifigh,Ohafia-Ifigh,73355
Ogwashi-Uku,Ogwashi-Uku,26137
Oguta,Oguta,21639
Ogoja,Ogoja,37466
Ogaminana,Ogaminana,84373
Offa,Offa,113830
Ode,Ode,75463
Obudu,Obudu,19668
Obonoma,Obonoma,68584
Numan,Numan,77617
Nsukka,Nsukka,111017
Nnewi,Nnewi,193987
Nkwerre,Nkwerre,62973
Nkpor,Nkpor,103733
Nguru,Nguru,111014
Nasarawa,Nasarawa,30949
Nafada,Nafada,22920
Mubi,Mubi,225705
Moriki,Moriki,28735
Monguno,Monguno,20297
Mokwa,Mokwa,21128
Modakeke,Modakeke,119529
Minna,Minna,291905
Marte,Marte,15707
Malumfashi,Malumfashi,70709
Makurdi,Makurdi,292645
Makoko,Makoko,85840
Maiduguri,Maiduguri,1112449
Magumeri,Magumeri,19363
Lokoja,Lokoja,60579
Lere,Lere,93290
Lapai,Lapai,16442
Lalupon,Lalupon,81130
Lagos,Lagos,9000000
Lafiagi,Lafiagi,102779
Lafia,Lafia,127236
Kwale,Kwale,20226
Kumo,Kumo,35712
Kumagunnam,Kumagunnam,16557
Kukawa,Kukawa,16077
Kuje,Kuje,97367
Kontagora,Kontagora,98754
Kiyawa,Kiyawa,17704
Kisi,Kisi,155510
Keffi,Keffi,85911
Kaura Namoda,Kaura Namoda,69725
Katsina-Ala,Katsina-Ala,36722
Katsina,Katsina,432149
Kari,Kari,18812
Kano,Kano,3626068
Kamba,Kamba,25568
Kaiama,Kaiama,21897
Kagoro,Kagoro,77008
Kafanchan,Kafanchan,79522
Kaduna,Kaduna,1582102
Kachia,Kachia,30893
Kabba,Kabba,49869
Jos,Jos,816824
Jimeta,Jimeta,248148
Jega,Jega,73495
Jebba,Jebba,21488
Jalingo,Jalingo,117757
Iwo,Iwo,250443
Itu,Itu,36358
Isieke,Isieke,89990
Ise-Ekiti,Ise-Ekiti,190063
Isanlu-Itedoijowa,Isanlu-Itedoijowa,15087
Ipoti,Ipoti,82113
Iperu,Iperu,15935
Inisa,Inisa,164161
Ilorin,Ilorin,814192
Ilobu,Ilobu,118089
Illela,Illela,17461
Ilesa,Ilesa,277904
Ilaro,Ilaro,46999
Ila Orangun,Ila Orangun,179192
Ikot Ekpene,Ikot Ekpene,254806
Ikom,Ikom,79103
Ikirun,Ikirun,134240
Ikire,Ikire,222160
Ikere-Ekiti,Ikere-Ekiti,103054
Ikeja,Ikeja,313196
Ijero-Ekiti,Ijero-Ekiti,167632
Ijebu-Ode,Ijebu-Ode,209175
Ijebu-Jesa,Ijebu-Jesa,51730
Ijebu-Igbo,Ijebu-Igbo,109261
Ihiala,Ihiala,83265
Igede-Ekiti,Igede-Ekiti,87282
Igbo-Ukwu,Igbo-Ukwu,75224
Igbor,Igbor,17666
Igbo-Ora,Igbo-Ora,92719
Igboho,Igboho,136764
Igbeti,Igbeti,24690
Igbara-Odo,Igbara-Odo,74121
Ifo,Ifo,88272
Idanre,Idanre,86468
Idah,Idah,68703
Ibi,Ibi,22757
Ibeto,Ibeto,15565
Ibadan,Ibadan,3565108
Hadejia,Hadejia,110753
Gwoza,Gwoza,15176
Gwarzo,Gwarzo,16303
Gwaram,Gwaram,15806
Gwadabawa,Gwadabawa,17486
Gusau,Gusau,226857
Gummi,Gummi,38744
Gumel,Gumel,42742
Gombi,Gombi,19616
Gombe,Gombe,250258
Gembu,Gembu,19881
Geidam,Geidam,41367
Gbongan,Gbongan,139485
Gaya,Gaya,20959
Gashua,Gashua,125817
Garko,Garko,21141
Ganye,Ganye,15178
Gamboru,Gamboru,84672
Funtua,Funtua,136811
Fiditi,Fiditi,71461
Ezza-Ohu,Ezza-Ohu,67414
Esuk Oron,Esuk Oron,112033
Epe,Epe,84711
Enugu-Ukwu,Enugu-Ukwu,68785
Enugu-Ezike,Enugu-Ezike,18989
Enugu,Enugu,688862
Emure-Ekiti,Emure-Ekiti,90645
Elele,Elele,20620
Ekpoma,Ekpoma,59618
Eket,Eket,25569
Ejigbo,Ejigbo,138357
Eha Amufu,Eha Amufu,70779
Egbe,Egbe,17612
Efon-Alaaye,Efon-Alaaye,279319
Effium,Effium,86945
Ebute Ikorodu,Ebute Ikorodu,535619
Dutsen Wai,Dutsen Wai,22062
Dutse,Dutse,17129
Dukku,Dukku,16961
Doma,Doma,15097
Dikwa,Dikwa,29026
Deba,Deba,17671
Daura,Daura,25289
Daura,Daura,78277
Darazo,Darazo,18415
Damboa,Damboa,21571
Damaturu,Damaturu,46000
Calabar,Calabar,461796
Burutu,Burutu,16410
Bukuru,Bukuru,15540
Buguma,Buguma,135404
Bonny,Bonny,16868
Bode Saadu,Bode Saadu,16619
Biu,Biu,95005
Birnin Kudu,Birnin Kudu,26565
Birnin Kebbi,Birnin Kebbi,108164
Sofo-Birnin-Gwari,Sofo-Birnin-Gwari,22380
Billiri,Billiri,15976
Bida,Bida,171656
Benin City,Benin City,1125058
Bende,Bende,79618
Beli,Beli,17467
Bauchi,Bauchi,316149
Baro,Baro,26821
Bama,Bama,118121
Badagry,Badagry,26383
Babana,Babana,17617
Azare,Azare,105687
Awka,Awka,167738
Awgu,Awgu,23175
Auchi,Auchi,62907
Asaba,Asaba,73374
Argungu,Argungu,45584
Aramoko-Ekiti,Aramoko-Ekiti,74491
Apomu,Apomu,71656
Anchau,Anchau,15538
Amaigbo,Amaigbo,127300
Akwanga,Akwanga,15985
Akure,Akure,420594
Aku,Aku,73742
Ajaokuta,Ajaokuta,15144
Agulu,Agulu,79021
Agbor,Agbor,67610
Afikpo,Afikpo,71866
Ado Odo,Ado Odo,15442
Ado-Ekiti,Ado-Ekiti,424340
Abuja,Abuja,590400
Abeokuta,Abeokuta,593100
Abakaliki,Abakaliki,134102
Aba,Aba,897560
Degema Hulk,Degema Hulk,19223
Tipitapa,Tipitapa,127153
Somoto,Somoto,20316
Somotillo,Somotillo,15385
Siuna,Siuna,16056
San Rafael del Sur,San Rafael del Sur,29836
